,open,high,low,close,volume
2020-09-30,3389.742,3425.629,3202.344,3218.052,490622905000.0
2020-10-30,3262.611,3371.086,3219.422,3224.533,303696134800.0
2020-11-30,3228.715,3456.737,3209.909,3391.755,568057672500.0
2020-12-31,3388.987,3474.918,3325.172,3473.069,644514554300.0
2021-01-29,3474.679,3637.1,3446.547,3483.069,663962352900.0
2021-02-26,3477.172,3731.687,3465.771,3509.08,484073831700.0
2021-03-31,3531.48,3577.622,3328.312,3441.912,744063126300.0
2021-04-30,3444.81,3497.121,3373.094,3446.856,569526841600.0
2021-05-31,3446.074,3626.358,3384.697,3615.477,580168276500.0
2021-06-30,3608.598,3629.29,3503.183,3591.197,668364524800.0
2021-07-30,3600.546,3607.705,3312.721,3397.357,790394912200.0
2021-08-31,3385.69,3544.094,3367.643,3543.94,894265998400.0
2021-09-30,3543.866,3723.845,3514.674,3568.167,1072908158400.0
2021-10-29,3609.087,3625.016,3502.801,3547.336,561816733800.0
2021-11-30,3530.396,3602.735,3448.438,3563.887,715132246300.0
2021-12-31,3561.886,3708.942,3558.691,3639.775,863871281300.0
2022-01-28,3649.151,3651.892,3356.556,3361.44,662572005600.0
2022-02-28,3407.762,3500.147,3390.458,3462.306,537725366100.0
2022-03-31,3471.365,3500.287,3023.305,3252.203,870200597100.0
2022-04-29,3234.668,3290.256,2863.65,3047.062,747790770000.0
2022-05-31,3044.849,3188.603,2957.397,3186.427,674727285100.0
2022-06-30,3179.695,3417.009,3160.04,3398.616,873938770800.0
2022-07-29,3400.262,3424.837,3226.232,3253.238,688087025900.0
2022-08-31,3246.616,3295.998,3155.187,3202.138,705001014700.0
2022-09-30,3196.537,3278.166,3021.931,3024.391,549015589800.0
2022-10-31,3026.935,3099.918,2885.089,2893.483,413863340200.0
2022-11-30,2899.499,3158.573,2896.757,3151.335,686907839800.0
2022-12-30,3187.99,3226.082,3031.536,3089.258,614033199800.0
2023-01-31,3087.513,3310.49,3073.054,3255.669,413343223200.0
2023-02-28,3262.196,3308.828,3223.258,3279.605,562745026400.0
2023-03-31,3279.136,3342.859,3216.993,3272.86,724715520600.0
2023-04-28,3277.34,3396.175,3229.446,3323.275,671560609300.0
2023-05-31,3306.483,3418.953,3168.572,3204.564,705061427300.0
2023-06-30,3196.155,3276.552,3144.248,3202.062,590465837800.0
2023-07-31,3209.162,3322.129,3151.125,3291.04,588947228500.0
2023-08-31,3288.76,3315.049,3053.037,3119.876,771651533000.0
2023-09-28,3126.023,3177.06,3078.801,3110.475,526138945700.0
2023-10-31,3100.0,3109.99,2923.511,3018.771,488864707300.0
2023-11-30,3038.182,3089.774,3009.121,3029.673,649431931500.0
2023-12-29,3027.353,3038.979,2882.02,2974.935,605856445100.0
2024-01-31,2972.775,2976.268,2724.157,2788.548,692521105900.0
2024-02-29,2773.424,3031.488,2635.09,3015.171,656256974100.0
2024-03-29,3013.823,3090.051,2984.12,3041.167,772070297200.0
2024-04-30,3049.021,3123.288,2995.542,3104.825,764786214900.0
2024-05-31,3132.512,3174.266,3085.384,3086.813,699695866900.0
2024-06-28,3085.981,3097.204,2933.33,2967.403,570135119100.0
2024-07-31,2965.245,3004.987,2865.149,2938.749,663558797300.0
2024-08-30,2940.12,2947.877,2815.383,2842.214,596594223200.0
2024-09-30,2832.35,3358.588,2689.695,3336.497,694997327400.0
2024-10-15,3674.405,3674.405,3187.988,3201.292,494426655800.0
